team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
george-washington,2017,A-10,0.455,67.4,"Jair Bolden",32,24,32.6,0.368,0.415,0.318,0.677,3,3.1,0.8,0.3,2.3,11.2,"Maurice Joseph "
george-mason,2017,A-10,0.485,71.8,"Jaire Grayer",32,31,30.7,0.397,0.444,0.354,0.727,7.3,1.3,1.3,0.8,1.5,12.3,"Dave Paulsen "
maryland-baltimore-county,2017,AEC,0.694,73.1,"Jairus Lyles",33,32,34.9,0.439,0.471,0.39,0.792,5.5,3.5,2.1,0.2,3.1,20.2,"Ryan Odom "
arkansas-little-rock,2017,"Sun Belt",0.219,63.7,"Jaizec Lottie",32,30,25,0.365,0.415,0.274,0.576,2.7,2.9,1,0,2.2,7,"Wes Flanigan "
eastern-illinois,2017,OVC,0.387,66.6,"Jajuan Starks",31,22,21.5,0.418,0.454,0.28,0.612,4,0.8,0.5,0.5,1.7,8.7,"Jay Spoonhour "
georgia-southern,2017,"Sun Belt",0.636,75.9,"Jake Allsmiller",33,31,25.7,0.367,0.474,0.358,0.739,1.6,0.6,0.3,0.2,0.4,8.6,"Mark Byington "
loyola-il,2017,MVC,0.842,71.6,"Jake Baughman",8,0,2.3,1,0,1,1,0,0,0.1,0,0.1,0.6,"Porter Moser "
utah,2017,Pac-12,0.657,73.5,"Jake Connor",16,0,5.2,0.217,0,0.238,0.4,0.4,0.2,0,0.1,0.1,1.1,"Larry Krystkowiak "
rutgers,2017,"Big Ten",0.441,65.2,"Jake Dadika",17,1,6.2,0.333,0.429,0.25,0.375,0.4,0.3,0.1,0,0.1,0.9,"Steve Pikiell "
arizona,2017,Pac-12,0.771,80.5,"Jake Desjardins",3,0,2.3,0.5,0.5,0,0,1,0.3,0,0,0.3,0.7,"Sean Miller "
san-diego,2017,WCC,0.588,70.1,"Jake Gilliam",3,0,2.3,0.6,0.6,0,0.2,1.7,0,0,0,0.3,2.3,"Lamont Smith "
denver,2017,Summit,0.5,73.1,"Jake Holtzmann",26,1,14.1,0.384,0.381,0.385,0.857,1.5,1.1,0.2,0.1,1,3.6,"Rodney Billups "
